date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:27:39	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Nov%202023%2005:27:38%20GMT	https://web.archive.org/robots.txt		(from )
00:27:39	145706/145706	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2005:27:39%20GMT	https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914010754/https_/www.proofofmemes.org/index.html	(from )
00:27:41	15130/15130	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2264ba9b17-3b1a%22	http://archive.org/includes/analytics.js?v=cf34f82	C:/Users/Dream/Desktop/pom/archive.org/includes/analytics2a5b.js	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:41	31445/31445	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:38:59%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=t1Bf4PY_	C:/Users/Dream/Desktop/pom/web-static.archive.org/_static/js/bundle-playback8833.js	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:41	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:39:00%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/Users/Dream/Desktop/pom/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:42	363298/363298	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Nov%202023%2019:40:25%20GMT	https://web-static.archive.org/_static/js/ruffle.js	C:/Users/Dream/Desktop/pom/web-static.archive.org/_static/js/ruffle.js	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:42	9867/9867	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2019:38:55%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	C:/Users/Dream/Desktop/pom/web-static.archive.org/_static/css/banner-styles52e6.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:42	5825/5825	---MCZ	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2019:39:36%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	C:/Users/Dream/Desktop/pom/web-static.archive.org/_static/css/iconochive8307.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2026%20Nov%202023%2005:27:42%20GMT	https://web.archive.org/web/20220914010754cs_/http://proofofmemes.org/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914010754cs_/http_/proofofmemes.org/wp-includes/css/dist/block-library/style.min5b21.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:43	89517/89517	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2005:27:42%20GMT	https://web.archive.org/web/20220914014814cs_/http://proofofmemes.org/wp-includes/css/dist/block-library/style.min.css?ver=6.0.2	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914014814cs_/http_/proofofmemes.org/wp-includes/css/dist/block-library/style.min5b21.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2026%20Nov%202023%2005:27:43%20GMT	https://web.archive.org/web/20220914010754cs_/http://proofofmemes.org/wp-content/themes/cryptlight/style.css?ver=1.0.4	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914010754cs_/http_/proofofmemes.org/wp-content/themes/cryptlight/style.84b68.delayed	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:44	683488/683488	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2005:27:43%20GMT	https://web.archive.org/web/20220914014727cs_/http://proofofmemes.org/wp-content/themes/cryptlight/style.css?ver=1.0.4	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914014727cs_/http_/proofofmemes.org/wp-content/themes/cryptlight/style4b68.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2026%20Nov%202023%2005:27:44%20GMT	https://web.archive.org/web/20220914010754cs_/http://proofofmemes.org/wp-content/themes/cryptlight-child/style.css?ver=1.0.0	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914010754cs_/http_/proofofmemes.org/wp-content/themes/cryptlight-child/style8a54.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:44	1096/1096	---MCZ	200	added ('OK')	text/css	date:Sun,%2026%20Nov%202023%2005:27:44%20GMT	https://web.archive.org/web/20220914020737cs_/http://proofofmemes.org/wp-content/themes/cryptlight-child/style.css?ver=1.0.0	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914020737cs_/http_/proofofmemes.org/wp-content/themes/cryptlight-child/style8a54.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2026%20Nov%202023%2005:27:44%20GMT	https://web.archive.org/web/20220914010754cs_/http://proofofmemes.org/wp-content/themes/cryptlight/assets/libs/carousel/assets/owl.carousel.min.css	C:/Users/Dream/Desktop/pom/web.archive.org/web/20220914010754cs_/http_/proofofmemes.org/wp-content/themes/cryptlight/assets/libs/carousel/assets/owl.carousel.min.css	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
00:27:45	1700/1700	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Nov%202023%2005:27:44%20GMT	https://web.archive.org/web/20231020131655cs_/http://proofofmemes.org/wp-content/themes/cryptlight/assets/libs/carousel/assets/owl.carousel.min.css	C:/Users/Dream/Desktop/pom/web.archive.org/web/20231020131655cs_/http_/proofofmemes.org/wp-content/themes/cryptlight/assets/libs/carousel/assets/owl.carousel.min.html	(from https://web.archive.org/web/20220914010754/https://www.proofofmemes.org/)
